Date,ACME,ADAX,ALTU,APAC,ARNE,BEAV,BESS,BIXB,BLAC,BOIS,BOWL,BREC,BRIS,BUFF,BURB,BURN,BUTL,BYAR,CAMA,CENT,CHAN,CHER,CHEY,CHIC,CLAY,CLOU,COOK,COPA,DURA,ELRE,ERIC,EUFA,FAIR,FORA,FREE,FTCB,GOOD,GUTH,HASK,HINT,HOBA,HOLL,HOOK,HUGO,IDAB,JAYX,KENT,KETC,LAHO,LANE,MADI,MANG,MARE,MAYR,MCAL,MEDF,MEDI,MIAM,MINC,MTHE,NEWK,NINN,NOWA,OILT,OKEM,OKMU,PAUL,PAWN,PERK,PRYO,PUTN,REDR,RETR,RING,SALL,SEIL,SHAW,SKIA,SLAP,SPEN,STIG,STIL,STUA,SULP,TAHL,TALI,TIPT,TISH,VINI,WASH,WATO,WAUR,WEAT,WEST,WILB,WIST,WOOD,WYNO
20080101,14047949.9120305,13106724.2741544,14047949.9120305,14047949.9120305,13427124.3139474,13427124.3139474,13610324.4171104,11772506.3503762,12224600.9971774,12964840.64436,12224600.9971774,12224600.9971774,12224600.9971774,13427124.3139474,11772506.3503762,14047949.9120305,13610324.4171104,14047949.9120305,13427124.3139474,13106724.2741544,12224600.9971774,13427124.3139474,13427124.3139474,14047949.9120305,13106724.2741544,13106724.2741544,11772506.3503762,11772506.3503762,14047949.9120305,12224600.9971774,13610324.4171104,13106724.2741544,12224600.9971774,11772506.3503762,13427124.3139474,14047949.9120305,13427124.3139474,12224600.9971774,11772506.3503762,13610324.4171104,13610324.4171104,13610324.4171104,12964840.64436,13106724.2741544,13418288.9996932,11772506.3503762,12964840.64436,14047949.9120305,12224600.9971774,13106724.2741544,13106724.2741544,13610324.4171104,12224600.9971774,13427124.3139474,13106724.2741544,12224600.9971774,14047949.9120305,11772506.3503762,12224600.9971774,13106724.2741544,12224600.9971774,14047949.9120305,11772506.3503762,12224600.9971774,11772506.3503762,11772506.3503762,14047949.9120305,12224600.9971774,12224600.9971774,11772506.3503762,13610324.4171104,12224600.9971774,13610324.4171104,14047949.9120305,11772506.3503762,13427124.3139474,12224600.9971774,11772506.3503762,13427124.3139474,14047949.9120305,11772506.3503762,12224600.9971774,13106724.2741544,14047949.9120305,11772506.3503762,13106724.2741544,13610324.4171104,13106724.2741544,11772506.3503762,14047949.9120305,13610324.4171104,14047949.9120305,13610324.4171104,11772506.3503762,13106724.2741544,13106724.2741544,13427124.3139474,11772506.3503762
20080102,13957557.3696437,13623977.8182697,13957557.3696437,13957557.3696437,12404514.8278508,12404514.8278508,12887198.0698324,12592322.6882471,12680140.6442507,11103031.641589,12680140.6442507,12680140.6442507,12680140.6442507,12404514.8278508,12592322.6882471,13957557.3696437,12887198.0698324,13957557.3696437,12404514.8278508,13623977.8182697,12680140.6442507,12404514.8278508,12404514.8278508,13957557.3696437,13623977.8182697,13623977.8182697,12592322.6882471,12592322.6882471,13957557.3696437,12680140.6442507,12887198.0698324,13623977.8182697,12680140.6442507,12592322.6882471,12404514.8278508,13957557.3696437,12404514.8278508,12680140.6442507,12592322.6882471,12887198.0698324,12887198.0698324,12887198.0698324,11103031.641589,13623977.8182697,13937264.4155706,12592322.6882471,11103031.641589,13957557.3696437,12680140.6442507,13623977.8182697,13623977.8182697,12887198.0698324,12680140.6442507,12404514.8278508,13623977.8182697,12680140.6442507,13957557.3696437,12592322.6882471,12680140.6442507,13623977.8182697,12680140.6442507,13957557.3696437,12592322.6882471,12680140.6442507,12592322.6882471,12592322.6882471,13957557.3696437,12680140.6442507,12680140.6442507,12592322.6882471,12887198.0698324,12680140.6442507,12887198.0698324,13957557.3696437,12592322.6882471,12404514.8278508,12680140.6442507,12592322.6882471,12404514.8278508,13957557.3696437,12592322.6882471,12680140.6442507,13623977.8182697,13957557.3696437,12592322.6882471,13623977.8182697,12887198.0698324,13623977.8182697,12592322.6882471,13957557.3696437,12887198.0698324,13957557.3696437,12887198.0698324,12592322.6882471,13623977.8182697,13623977.8182697,12404514.8278508,12592322.6882471
20080103,9999480.24254843,10737643.6569411,9999480.24254843,9999480.24254843,9837650.30391667,9837650.30391667,9883421.49721192,10595462.7842174,10103794.8289955,11438854.4160355,10103794.8289955,10103794.8289955,10103794.8289955,9837650.30391667,10595462.7842174,9999480.24254843,9883421.49721192,9999480.24254843,9837650.30391667,10737643.6569411,10103794.8289955,9837650.30391667,9837650.30391667,9999480.24254843,10737643.6569411,10737643.6569411,10595462.7842174,10595462.7842174,9999480.24254843,10103794.8289955,9883421.49721192,10737643.6569411,10103794.8289955,10595462.7842174,9837650.30391667,9999480.24254843,9837650.30391667,10103794.8289955,10595462.7842174,9883421.49721192,9883421.49721192,9883421.49721192,11438854.4160355,10737643.6569411,9440674.74407717,10595462.7842174,11438854.4160355,9999480.24254843,10103794.8289955,10737643.6569411,10737643.6569411,9883421.49721192,10103794.8289955,9837650.30391667,10737643.6569411,10103794.8289955,9999480.24254843,10595462.7842174,10103794.8289955,10737643.6569411,10103794.8289955,9999480.24254843,10595462.7842174,10103794.8289955,10595462.7842174,10595462.7842174,9999480.24254843,10103794.8289955,10103794.8289955,10595462.7842174,9883421.49721192,10103794.8289955,9883421.49721192,9999480.24254843,10595462.7842174,9837650.30391667,10103794.8289955,10595462.7842174,9837650.30391667,9999480.24254843,10595462.7842174,10103794.8289955,10737643.6569411,9999480.24254843,10595462.7842174,10737643.6569411,9883421.49721192,10737643.6569411,10595462.7842174,9999480.24254843,9883421.49721192,9999480.24254843,9883421.49721192,10595462.7842174,10737643.6569411,10737643.6569411,9837650.30391667,10595462.7842174
20080104,6113899.08354671,6125403.09805933,6113899.08354671,6113899.08354671,8221468.75426026,8221468.75426026,7185751.60395494,4937545.93036408,5414003.50403194,10058626.7888395,5414003.50403194,5414003.50403194,5414003.50403194,8221468.75426026,4937545.93036408,6113899.08354671,7185751.60395494,6113899.08354671,8221468.75426026,6125403.09805933,5414003.50403194,8221468.75426026,8221468.75426026,6113899.08354671,6125403.09805933,6125403.09805933,4937545.93036408,4937545.93036408,6113899.08354671,5414003.50403194,7185751.60395494,6125403.09805933,5414003.50403194,4937545.93036408,8221468.75426026,6113899.08354671,8221468.75426026,5414003.50403194,4937545.93036408,7185751.60395494,7185751.60395494,7185751.60395494,10058626.7888395,6125403.09805933,7180599.17620062,4937545.93036408,10058626.7888395,6113899.08354671,5414003.50403194,6125403.09805933,6125403.09805933,7185751.60395494,5414003.50403194,8221468.75426026,6125403.09805933,5414003.50403194,6113899.08354671,4937545.93036408,5414003.50403194,6125403.09805933,5414003.50403194,6113899.08354671,4937545.93036408,5414003.50403194,4937545.93036408,4937545.93036408,6113899.08354671,5414003.50403194,5414003.50403194,4937545.93036408,7185751.60395494,5414003.50403194,7185751.60395494,6113899.08354671,4937545.93036408,8221468.75426026,5414003.50403194,4937545.93036408,8221468.75426026,6113899.08354671,4937545.93036408,5414003.50403194,6125403.09805933,6113899.08354671,4937545.93036408,6125403.09805933,7185751.60395494,6125403.09805933,4937545.93036408,6113899.08354671,7185751.60395494,6113899.08354671,7185751.60395494,4937545.93036408,6125403.09805933,6125403.09805933,8221468.75426026,4937545.93036408
20080105,10985129.770345,8173177.51325143,10985129.770345,10985129.770345,8825413.91202296,8825413.91202296,10766920.3207746,8714310.65695018,10277621.1877268,7543279.73623551,10277621.1877268,10277621.1877268,10277621.1877268,8825413.91202296,8714310.65695018,10985129.770345,10766920.3207746,10985129.770345,8825413.91202296,8173177.51325143,10277621.1877268,8825413.91202296,8825413.91202296,10985129.770345,8173177.51325143,8173177.51325143,8714310.65695018,8714310.65695018,10985129.770345,10277621.1877268,10766920.3207746,8173177.51325143,10277621.1877268,8714310.65695018,8825413.91202296,10985129.770345,8825413.91202296,10277621.1877268,8714310.65695018,10766920.3207746,10766920.3207746,10766920.3207746,7543279.73623551,8173177.51325143,4286889.78014454,8714310.65695018,7543279.73623551,10985129.770345,10277621.1877268,8173177.51325143,8173177.51325143,10766920.3207746,10277621.1877268,8825413.91202296,8173177.51325143,10277621.1877268,10985129.770345,8714310.65695018,10277621.1877268,8173177.51325143,10277621.1877268,10985129.770345,8714310.65695018,10277621.1877268,8714310.65695018,8714310.65695018,10985129.770345,10277621.1877268,10277621.1877268,8714310.65695018,10766920.3207746,10277621.1877268,10766920.3207746,10985129.770345,8714310.65695018,8825413.91202296,10277621.1877268,8714310.65695018,8825413.91202296,10985129.770345,8714310.65695018,10277621.1877268,8173177.51325143,10985129.770345,8714310.65695018,8173177.51325143,10766920.3207746,8173177.51325143,8714310.65695018,10985129.770345,10766920.3207746,10985129.770345,10766920.3207746,8714310.65695018,8173177.51325143,8173177.51325143,8825413.91202296,8714310.65695018
20080106,10944870.8412585,8038059.29643741,10944870.8412585,10944870.8412585,8684208.68404838,8684208.68404838,10690840.9455341,8851267.63268926,10258273.9615018,9276090.29302548,10258273.9615018,10258273.9615018,10258273.9615018,8684208.68404838,8851267.63268926,10944870.8412585,10690840.9455341,10944870.8412585,8684208.68404838,8038059.29643741,10258273.9615018,8684208.68404838,8684208.68404838,10944870.8412585,8038059.29643741,8038059.29643741,8851267.63268926,8851267.63268926,10944870.8412585,10258273.9615018,10690840.9455341,8038059.29643741,10258273.9615018,8851267.63268926,8684208.68404838,10944870.8412585,8684208.68404838,10258273.9615018,8851267.63268926,10690840.9455341,10690840.9455341,10690840.9455341,9276090.29302548,8038059.29643741,6141102.89192134,8851267.63268926,9276090.29302548,10944870.8412585,10258273.9615018,8038059.29643741,8038059.29643741,10690840.9455341,10258273.9615018,8684208.68404838,8038059.29643741,10258273.9615018,10944870.8412585,8851267.63268926,10258273.9615018,8038059.29643741,10258273.9615018,10944870.8412585,8851267.63268926,10258273.9615018,8851267.63268926,8851267.63268926,10944870.8412585,10258273.9615018,10258273.9615018,8851267.63268926,10690840.9455341,10258273.9615018,10690840.9455341,10944870.8412585,8851267.63268926,8684208.68404838,10258273.9615018,8851267.63268926,8684208.68404838,10944870.8412585,8851267.63268926,10258273.9615018,8038059.29643741,10944870.8412585,8851267.63268926,8038059.29643741,10690840.9455341,8038059.29643741,8851267.63268926,10944870.8412585,10690840.9455341,10944870.8412585,10690840.9455341,8851267.63268926,8038059.29643741,8038059.29643741,8684208.68404838,8851267.63268926
20080107,8308516.05552809,3313497.99543659,8308516.05552809,8308516.05552809,7432520.26399977,7432520.26399977,9082944.831896,4135508.62108422,6715081.29211127,6901507.8975904,6715081.29211127,6715081.29211127,6715081.29211127,7432520.26399977,4135508.62108422,8308516.05552809,9082944.831896,8308516.05552809,7432520.26399977,3313497.99543659,6715081.29211127,7432520.26399977,7432520.26399977,8308516.05552809,3313497.99543659,3313497.99543659,4135508.62108422,4135508.62108422,8308516.05552809,6715081.29211127,9082944.831896,3313497.99543659,6715081.29211127,4135508.62108422,7432520.26399977,8308516.05552809,7432520.26399977,6715081.29211127,4135508.62108422,9082944.831896,9082944.831896,9082944.831896,6901507.8975904,3313497.99543659,2014889.57756351,4135508.62108422,6901507.8975904,8308516.05552809,6715081.29211127,3313497.99543659,3313497.99543659,9082944.831896,6715081.29211127,7432520.26399977,3313497.99543659,6715081.29211127,8308516.05552809,4135508.62108422,6715081.29211127,3313497.99543659,6715081.29211127,8308516.05552809,4135508.62108422,6715081.29211127,4135508.62108422,4135508.62108422,8308516.05552809,6715081.29211127,6715081.29211127,4135508.62108422,9082944.831896,6715081.29211127,9082944.831896,8308516.05552809,4135508.62108422,7432520.26399977,6715081.29211127,4135508.62108422,7432520.26399977,8308516.05552809,4135508.62108422,6715081.29211127,3313497.99543659,8308516.05552809,4135508.62108422,3313497.99543659,9082944.831896,3313497.99543659,4135508.62108422,8308516.05552809,9082944.831896,8308516.05552809,9082944.831896,4135508.62108422,3313497.99543659,3313497.99543659,7432520.26399977,4135508.62108422
20080108,9295704.38394349,8796377.49776552,9295704.38394349,9295704.38394349,10384829.7436813,10384829.7436813,10993643.2845394,5730352.69543497,8132889.87354341,13433870.6875897,8132889.87354341,8132889.87354341,8132889.87354341,10384829.7436813,5730352.69543497,9295704.38394349,10993643.2845394,9295704.38394349,10384829.7436813,8796377.49776552,8132889.87354341,10384829.7436813,10384829.7436813,9295704.38394349,8796377.49776552,8796377.49776552,5730352.69543497,5730352.69543497,9295704.38394349,8132889.87354341,10993643.2845394,8796377.49776552,8132889.87354341,5730352.69543497,10384829.7436813,9295704.38394349,10384829.7436813,8132889.87354341,5730352.69543497,10993643.2845394,10993643.2845394,10993643.2845394,13433870.6875897,8796377.49776552,8468059.37736327,5730352.69543497,13433870.6875897,9295704.38394349,8132889.87354341,8796377.49776552,8796377.49776552,10993643.2845394,8132889.87354341,10384829.7436813,8796377.49776552,8132889.87354341,9295704.38394349,5730352.69543497,8132889.87354341,8796377.49776552,8132889.87354341,9295704.38394349,5730352.69543497,8132889.87354341,5730352.69543497,5730352.69543497,9295704.38394349,8132889.87354341,8132889.87354341,5730352.69543497,10993643.2845394,8132889.87354341,10993643.2845394,9295704.38394349,5730352.69543497,10384829.7436813,8132889.87354341,5730352.69543497,10384829.7436813,9295704.38394349,5730352.69543497,8132889.87354341,8796377.49776552,9295704.38394349,5730352.69543497,8796377.49776552,10993643.2845394,8796377.49776552,5730352.69543497,9295704.38394349,10993643.2845394,9295704.38394349,10993643.2845394,5730352.69543497,8796377.49776552,8796377.49776552,10384829.7436813,5730352.69543497
20080109,11772795.4786132,11730970.7151661,11772795.4786132,11772795.4786132,9219533.45051759,9219533.45051759,10242682.8911982,10929304.3499824,10240144.0499414,8381052.95579921,10240144.0499414,10240144.0499414,10240144.0499414,9219533.45051759,10929304.3499824,11772795.4786132,10242682.8911982,11772795.4786132,9219533.45051759,11730970.7151661,10240144.0499414,9219533.45051759,9219533.45051759,11772795.4786132,11730970.7151661,11730970.7151661,10929304.3499824,10929304.3499824,11772795.4786132,10240144.0499414,10242682.8911982,11730970.7151661,10240144.0499414,10929304.3499824,9219533.45051759,11772795.4786132,9219533.45051759,10240144.0499414,10929304.3499824,10242682.8911982,10242682.8911982,10242682.8911982,8381052.95579921,11730970.7151661,11442274.4028641,10929304.3499824,8381052.95579921,11772795.4786132,10240144.0499414,11730970.7151661,11730970.7151661,10242682.8911982,10240144.0499414,9219533.45051759,11730970.7151661,10240144.0499414,11772795.4786132,10929304.3499824,10240144.0499414,11730970.7151661,10240144.0499414,11772795.4786132,10929304.3499824,10240144.0499414,10929304.3499824,10929304.3499824,11772795.4786132,10240144.0499414,10240144.0499414,10929304.3499824,10242682.8911982,10240144.0499414,10242682.8911982,11772795.4786132,10929304.3499824,9219533.45051759,10240144.0499414,10929304.3499824,9219533.45051759,11772795.4786132,10929304.3499824,10240144.0499414,11730970.7151661,11772795.4786132,10929304.3499824,11730970.7151661,10242682.8911982,11730970.7151661,10929304.3499824,11772795.4786132,10242682.8911982,11772795.4786132,10242682.8911982,10929304.3499824,11730970.7151661,11730970.7151661,9219533.45051759,10929304.3499824
20080110,11791178.5840069,11163812.6049521,11791178.5840069,11791178.5840069,10728543.7713697,10728543.7713697,11440830.6834806,7207143.40520525,9151145.14580554,12401083.0454254,9151145.14580554,9151145.14580554,9151145.14580554,10728543.7713697,7207143.40520525,11791178.5840069,11440830.6834806,11791178.5840069,10728543.7713697,11163812.6049521,9151145.14580554,10728543.7713697,10728543.7713697,11791178.5840069,11163812.6049521,11163812.6049521,7207143.40520525,7207143.40520525,11791178.5840069,9151145.14580554,11440830.6834806,11163812.6049521,9151145.14580554,7207143.40520525,10728543.7713697,11791178.5840069,10728543.7713697,9151145.14580554,7207143.40520525,11440830.6834806,11440830.6834806,11440830.6834806,12401083.0454254,11163812.6049521,11724270.8041351,7207143.40520525,12401083.0454254,11791178.5840069,9151145.14580554,11163812.6049521,11163812.6049521,11440830.6834806,9151145.14580554,10728543.7713697,11163812.6049521,9151145.14580554,11791178.5840069,7207143.40520525,9151145.14580554,11163812.6049521,9151145.14580554,11791178.5840069,7207143.40520525,9151145.14580554,7207143.40520525,7207143.40520525,11791178.5840069,9151145.14580554,9151145.14580554,7207143.40520525,11440830.6834806,9151145.14580554,11440830.6834806,11791178.5840069,7207143.40520525,10728543.7713697,9151145.14580554,7207143.40520525,10728543.7713697,11791178.5840069,7207143.40520525,9151145.14580554,11163812.6049521,11791178.5840069,7207143.40520525,11163812.6049521,11440830.6834806,11163812.6049521,7207143.40520525,11791178.5840069,11440830.6834806,11791178.5840069,11440830.6834806,7207143.40520525,11163812.6049521,11163812.6049521,10728543.7713697,7207143.40520525
