Date,ACME,ADAX,ALTU,APAC,ARNE,BEAV,BESS,BIXB,BLAC,BOIS,BOWL,BREC,BRIS,BUFF,BURB,BURN,BUTL,BYAR,CAMA,CENT,CHAN,CHER,CHEY,CHIC,CLAY,CLOU,COOK,COPA,DURA,ELRE,ERIC,EUFA,FAIR,FORA,FREE,FTCB,GOOD,GUTH,HASK,HINT,HOBA,HOLL,HOOK,HUGO,IDAB,JAYX,KENT,KETC,LAHO,LANE,MADI,MANG,MARE,MAYR,MCAL,MEDF,MEDI,MIAM,MINC,MTHE,NEWK,NINN,NOWA,OILT,OKEM,OKMU,PAUL,PAWN,PERK,PRYO,PUTN,REDR,RETR,RING,SALL,SEIL,SHAW,SKIA,SLAP,SPEN,STIG,STIL,STUA,SULP,TAHL,TALI,TIPT,TISH,VINI,WASH,WATO,WAUR,WEAT,WEST,WILB,WIST,WOOD,WYNO
20080101,14344593.3339666,13840671.3327832,13821423.8974207,13620617.9334238,12376985.7768956,11553291.8701449,13007735.2717382,13521339.8622968,12005218.7518366,9438684.81194131,14217940.7935052,11419364.9907276,13915655.9870862,11486450.6647878,11263038.6793336,13929284.2939528,13358571.4979556,13691597.606425,12494826.2547257,14296192.5847974,14007889.9130876,11724999.8857744,13065287.9379177,13128378.1699396,14773558.8396479,15036727.5502854,13394164.8556796,12375897.9695992,14717334.8973893,13065867.7285734,13366765.41447,13957224.0669359,12024905.910866,11760618.2840463,12090288.6730118,12863172.3000926,11218562.0374039,12636994.2780599,13930643.4199992,13342080.1445034,13819167.3018457,13894336.0327384,11163404.4898503,15170034.6761628,15021794.7504341,12781157.2763719,11212377.1219084,13936677.8049092,12683119.2622515,14870260.8917814,14216896.7939858,13631887.2553011,13334822.8718245,11709971.2635212,13629977.9297396,11625419.9592425,13851661.6902199,13603377.4161147,13397248.8337347,14595703.8651757,11560855.3392678,14285138.9911796,13625388.8845049,13010875.8131131,14281360.5557665,13181658.7456023,13670128.1252205,13086473.7663089,13231706.6859802,12871404.2615376,12067631.4754235,11507688.3307549,14205746.1241664,14063647.642727,13877615.7854283,13966771.1800058,14180153.9373724,12540655.3981186,12480391.6963649,14218043.159476,13768867.2863265,12601864.1606064,13845104.7165359,14997569.7306694,13779239.0313124,14329077.5307904,13953803.7966886,14268875.1610791,13602679.3911421,14363525.2465993,13442600.4529312,14310104.4111066,13184731.098799,13713831.2121934,14287444.0608568,13959096.5361802,12007095.6519303,11903587.8474057
20080102,14142383.540794,13879193.7083744,13520485.5135013,13454329.2060947,12281413.1223792,11376516.4039351,12899242.1119223,13455245.9766813,12009213.0339331,9134623.94584626,14114014.2136379,11434801.8303583,13715590.0382055,11507652.2015101,11375563.8388949,13970350.0319694,13055580.3198189,13652826.6023896,12435455.8932139,14240788.9798711,13792291.8990649,11736223.2415611,12779682.7511405,13142750.4814824,14669260.2601238,15096348.7803015,13295239.3264153,12322683.2311192,14893419.9798995,12897872.134736,13029391.2932297,13825686.9243763,11893685.7757832,11879624.234946,11966973.2931518,12820608.3452251,11136061.6037903,12608319.6266781,13778734.9224524,13152005.496833,13474172.6797692,13547027.0502996,11123376.8280351,15289870.5058242,15053877.2074987,12709223.4902703,11374118.8388105,13846752.1484888,12544364.1518854,14976096.2845928,14339365.7114074,13321580.3746455,13301901.1463492,11679891.7012038,13654847.9392887,11550892.781618,13550177.4490069,13468163.3917811,13222708.9982997,14602466.1216099,11581655.2255128,14029215.5613834,13390705.1112477,13049699.7795173,14135277.0144285,13144370.5760804,13602970.238958,13034507.8696663,13246332.1551432,12833417.6821113,12015250.0634908,11662047.0563619,13723386.8387021,14002945.3262839,13785330.104853,13488842.1881671,14035919.5005396,12523185.0074889,12228019.4194507,13933084.1601795,13682499.0441324,12553990.8018844,13926590.1701615,14881308.3987618,13637048.3103047,14331232.6992401,13629184.4489945,14232332.9694802,13384449.0294379,14306621.4757112,13106589.0416108,14123881.2054374,12955460.3832845,13559499.1824705,14160679.0896706,13806813.1874896,11867347.453996,11974235.3686702
20080103,12682745.7218559,11934688.2993621,12326385.2417842,12067280.4237762,11184303.800432,10471471.8699277,11599967.5376048,11625259.903397,10572512.2319298,9967279.88689542,12346266.89506,10291254.7298146,12173392.8379406,10437816.0975258,9974966.85644599,12055011.5547496,11965500.9027038,11893860.9360967,11265076.9494626,12282851.7668477,12331478.0624011,10619733.0685221,11740201.9192477,11578262.5611797,12869247.3471929,12715390.6805429,11323164.0059458,10614863.019206,12511309.687347,11550048.6453704,12010528.4716354,11998956.678792,10673903.3053914,10247576.5070568,10840341.0370946,11424209.3616753,10271940.2293601,11145094.7349214,12035416.9505481,11865370.036798,12407537.2931435,12463579.4608685,10216610.6139079,12795828.920065,12653583.5852119,10771254.7461385,11365174.3032466,12210371.4669003,11274333.1305932,12641644.0472745,12168462.3166805,12175625.4016911,11592974.0112446,10584969.0338946,11494387.9183836,10343626.4402268,12348673.3442491,11647818.9775573,11818569.8582174,12334373.6007534,10171459.5272513,12757810.9174396,11861206.6100876,11240952.0468618,12446439.1514109,11199459.6934168,11870310.7455966,11378036.2321509,11535566.5991822,10964954.689157,10820349.1740172,10224670.6245252,13068195.4311836,12311968.584714,11765862.9019959,12881148.6828196,12421724.1014595,10732132.9940065,11357597.9348283,12648959.7938757,11662662.7962769,10955633.7222255,11789641.0662044,13145421.1491368,11761928.2376272,12020352.8073685,12480780.2975826,12338921.0390046,11771621.1574596,12587104.0531148,12025337.579209,12633802.4806235,11782590.4318889,11739512.2848287,12253045.1166222,11882313.1179071,10898384.6840278,10353865.0053268
20080104,10802409.3748268,8993316.50428671,11166795.1809731,10431451.549805,10171576.3357841,9586093.66951833,10294205.4617989,9092516.26389664,8689427.28794372,11261242.9915591,9828320.67412005,8640568.12227328,10012899.89235,9221225.67396799,7903328.03293817,9265174.50166127,10845048.4458846,9379852.93059181,10020168.80367,9287251.82484386,10289575.7711911,9208216.01528941,10865555.2205008,9620764.45283418,9816698.81834448,8961617.22165154,8534369.19805707,8236898.37950481,8750523.29107153,9938613.417242,11151977.9396021,9259952.81279011,9394091.65954012,7949550.16677103,9538212.63772011,9798091.99886143,9675004.51907415,9120845.33203431,9520251.2122601,10454682.5042517,11348855.1271725,11533707.1430634,9387189.55914978,8972602.87922737,8983966.33611351,8153030.58057482,10925810.7990646,9991559.41125764,9670831.41704576,9069642.44024915,8817713.16057819,11120312.6908187,9348725.7423554,9232912.75946995,8259415.1557398,8812747.55722539,11021213.0374688,8986976.23677243,10178646.9027356,8813250.7802665,8193338.75909157,11062524.4675918,9775099.76125739,8869304.63440683,9923011.78560318,8480550.16647631,9370356.01889411,9194687.54546316,9298934.38871047,8445840.98604327,9574400.1690071,8159063.16530599,12255320.6096956,9869380.68307738,8898494.05042525,11887605.015598,10164011.1348791,8301662.15060818,10399035.6264721,10821530.2849077,8727191.97031416,8838004.02988483,8465653.99737339,10504948.5911489,9036409.32086007,8635280.53960301,11359899.0817036,9477988.71931117,9464904.04035518,10172545.7116839,10759059.1177771,10701358.9211498,10578150.0867294,9090232.81478864,9397215.15144242,8990394.41729969,9714535.97277165,8077071.45590735
20080105,12394517.2006133,10321236.2947052,13217722.1791338,12138450.0146852,11505806.4263752,10920680.9005321,12032816.831992,9684171.70941594,9438421.4379871,14245087.606867,11001355.5927123,9154960.53820858,10856584.3315963,10185600.4456572,8238230.58906779,11115182.7888837,12810706.3492392,11179841.0156284,11507403.6590011,10486573.7099979,11204160.5594419,9997834.14235484,12838423.9268947,10882383.351581,10069338.8303765,9291817.31894186,9092953.94461933,8946906.28074005,10164938.851907,11536212.9935317,13178867.6278082,10039579.0219643,10680102.5838237,8317161.483977,10876155.2978826,11218402.3533096,10717005.5868537,10070407.2436853,10242501.8107132,12116050.2763129,13203595.5660952,13776227.1017685,10440246.5663555,9835779.96018665,9405614.70474522,8760885.70126906,10479592.0057762,11953802.5974758,10948428.0724739,10019651.8109902,10630816.7926306,13203995.3860278,10506856.8751565,10085840.4131456,9351378.33757191,9800273.38165876,12942087.8261503,9494862.26785471,11774412.944221,8884966.18259091,8832233.67713675,12501407.5561339,10481965.8491985,9679212.65879251,10814154.3876705,9325340.79651909,11312775.7184349,10264169.3589347,10244813.2171298,8916617.16668314,11082923.8132761,8490984.33183368,13851377.7452599,12022817.6265417,9414194.22254502,13219440.5846059,11407892.0880438,9104577.04903138,11710287.4608952,12066253.4419115,9512051.40943551,9984060.84269007,9379610.81761822,11902432.771968,9477458.31007833,9231621.34609194,13439622.3715061,10937638.832811,9988485.53455444,11685513.6729326,12481630.1151121,12780689.214479,12271802.3164897,9543009.47137739,10238466.5060764,9647445.21391878,10949178.5757978,8674364.98037368
20080106,13760394.7432071,11511132.1816834,14772506.4727224,13553279.3152656,12770671.4527855,12158931.2375651,13461088.2582709,10749432.8602635,10437018.9367546,15784784.7704772,12184639.6252918,9999204.41830273,11963650.5936538,11178493.9710744,9045621.67992893,12445863.8500229,14331562.3461117,12564745.2815896,12803069.3332249,11620081.1975675,12306322.6039701,10977134.9885431,14424893.8734365,12105614.6200477,10790572.2162629,10097752.6515454,10155092.2732417,9981531.71342199,11319983.6813707,12910539.5686545,14730959.0102017,11112084.9124567,11957809.0305435,9181914.26262323,12102975.7190915,12496358.7177097,11860550.4775508,11178719.6580756,11325335.1179375,13534947.8101682,14683675.216275,15446286.113067,11569075.4133364,10864182.0292034,10291760.2432575,9876763.26010544,10807710.0049912,13389677.7301461,12195540.221548,11067761.7981463,11923815.8132827,14801557.442469,11756466.1251415,11081169.5642102,10513765.9515343,10883913.6748583,14415691.4978184,10504726.8355495,13167762.8984655,9582668.51387816,9800962.24517837,13770760.8691925,11557985.6499355,10819511.410655,11905333.0747962,10468217.3742371,12701595.2458461,11426268.1079721,11415955.7489778,9970135.99052273,12381212.7357546,9325382.415839,15135148.4856871,13478235.6814725,10458422.4585013,14340163.5974493,12645822.9806176,10203710.2403582,12912889.0003791,13270830.748123,10604772.1739533,11211288.8777125,10433225.7060829,13115663.3492767,10468345.607476,10251203.1321686,15022999.6913941,12151293.2935698,10960699.9342331,12978423.503369,13903409.6000746,14276080.0170102,13702974.3848151,10504437.0146656,11314455.9129052,10655954.1194424,12098809.2730417,9651244.13020067
20080107,10806900.3149014,8505148.83860793,12398748.1774291,11001666.2775219,10772521.9789197,9870537.48780628,11491303.927134,7191652.22649478,7969171.77548004,15581734.9350244,8885993.23968972,7620243.3587995,8419592.50233288,9305141.54055496,6645409.26183469,9987261.9220909,11885035.9583284,9728535.29516791,10803513.8846856,8235763.09749118,8927772.20928708,8830214.10416888,12092116.1903297,9797437.63240692,6862709.37742424,6257123.38918445,6299988.06244456,6851210.30594486,8379048.29378263,10317939.7562905,12479344.060692,7319918.94568994,9556243.31375102,6591197.10905283,9788528.7583495,10378587.1211996,9773670.44084634,8425389.26003786,7558079.51311257,11051009.7561643,12135512.5622459,13114973.862732,9415289.90248646,7236055.77431172,6414874.72263206,6234070.09011094,10811654.7712525,10785141.6141004,9464133.98684243,7671035.29384094,9317741.86577062,12458475.017126,8791461.21551642,8847239.10923146,7056603.43493152,8406908.87382704,11879297.8059794,6637861.32249089,10482588.8425134,5778777.57296242,7134762.20668898,10783249.1803292,7938769.25486905,7828323.56803324,8264224.37349166,6984265.13049097,9978610.30690595,8591532.92829844,8508025.67620832,6456532.20300387,10538251.9611746,6942394.30383039,12230527.2626972,10991352.0631208,6541012.9110613,11209245.9694597,9334217.97444479,7202686.13159082,10450653.0976117,9915584.60948046,6811379.69657783,8329476.26501414,7022608.60723013,9836278.38227545,6468978.00242401,6459382.66532398,12523694.6724393,9030492.31317927,7240570.15023402,10063913.9513862,11072767.7358543,11658521.3923662,11295929.0339606,6640691.70392575,7529412.99313163,6737361.62437627,9751067.94204827,6974873.4043725
20080108,10445483.3247544,8522500.53206237,11342950.6955069,10376046.998025,10214108.8996461,9569407.54896019,10536616.5445107,7758183.01118268,8096819.96838477,13655223.1663673,9034926.61069534,8089869.51394474,8861148.14959284,9193903.34520681,7153073.35844347,9403132.80688436,10996654.5592147,9305765.95664259,10193992.9063016,8512275.98371428,9271543.31350901,8891485.10556656,11071524.324956,9399450.64049955,8134994.00961339,7325184.02126874,7016193.09309522,7242998.90923822,8361163.42001313,9804011.8912725,11399219.5515065,7955803.16878644,9153942.82723483,7056998.41580548,9463481.06712515,9793672.90343368,9614441.86892389,8544035.96363388,8184654.42304903,10370370.5793486,11331941.3759687,11877617.9927879,9325319.74461662,7807710.83729177,7347074.17659722,6748396.93912609,10904407.2597937,10125713.7034767,9286161.08146401,8091417.99264354,8888095.57783363,11342340.9850146,8722220.33039254,8911095.47898109,7345621.99067805,8401808.98855327,11073892.6311644,7436623.99185282,9969748.99888941,6969653.58749065,7473061.75333888,10597504.5783647,8463933.04353037,7973436.01730236,8793528.87637107,7355209.57370461,9450274.17123018,8563346.9156101,8553536.27848428,7016385.84574019,9780016.83011684,7406251.82223921,11966115.288345,10227978.1011748,7295889.8778514,11363105.400043,9423035.20194304,7406025.67991287,10233290.5123283,10071354.1491777,7413593.70739976,8269153.58836976,7509295.22951852,9917937.46919237,7372298.67006774,7152717.20039531,11503921.0816048,9019057.78161746,7989570.60138458,9820521.77277205,10565280.0798088,10856481.0456501,10557380.6585779,7491291.56467396,8132958.22328484,7533985.86859571,9648655.59962313,7292701.20371952
20080109,12661360.9229949,11245038.2735535,12904293.5242915,12278310.1213986,11700518.3999191,11169386.6434226,12013817.6032167,10851568.7251802,10341722.3013816,12737159.5995563,11789751.1234048,10253896.5587873,11713287.8690714,10764535.5671936,9554712.75346785,11603610.4815089,12620375.0733107,11634267.9369043,11719445.5916737,11478022.0859226,11982202.3238083,10771533.2164955,12541633.8825152,11385617.5961908,11654235.4231039,11051335.2616925,10408501.4379575,10055388.1241527,11291495.3952511,11766032.3227727,12821894.7835186,11195915.9364368,11008134.1974528,9620469.00439123,11246724.5116131,11556478.1076182,11056292.1132004,10911814.2485558,11335741.3070766,12183997.4509922,13006045.6689687,13310614.8417645,10855358.9728877,11283748.2006851,11057377.5015044,9961546.49015374,11313063.9241552,12196357.9327783,11417644.7353583,11318840.9738163,11370507.8555425,12846971.0880322,11226535.5443044,10765257.7544006,10492821.0436595,10458175.2950392,12822166.968542,10777002.8471307,11985555.91875,10722463.3443961,9899108.11652451,12800841.9850604,11399172.6816878,10627486.9097894,11794196.5734177,10386872.2401301,11661758.3749493,11008264.0605728,11084671.2431007,10136965.9838827,11241517.8403691,9785193.86043308,13786067.1853416,12248908.3823058,10733380.2262968,13416724.7791129,12064140.9924699,10124200.9309017,11944006.5324608,12587575.2224413,10752158.7783163,10689090.2538717,10692896.8879154,12630250.7139825,10829276.3459908,10725490.9903077,13104120.1777781,11671679.982347,11121306.7074119,12218761.0990701,12517242.3571449,12778079.845714,12260988.4749008,10845711.7613093,11395334.0797077,10942904.7612551,11408943.0726621,9815796.21300621
20080110,11104568.8233807,9460909.39681163,11660591.2733917,10913391.2582055,10676386.3918539,10108867.3512851,10916196.5772644,8878051.0201608,8961475.0370824,13198359.5881679,9957500.71481597,9000404.73075183,9849589.77486498,9807622.86048559,8179920.63273506,10067762.0797605,11385560.5342397,10022570.4373212,10676868.2137264,9527239.90167536,10200239.73155,9650284.91639234,11399051.0453072,10037963.8909247,9480593.24460263,8711014.89691876,8243094.39502632,8287391.83066597,9362364.73997516,10384714.2423326,11681125.0644829,9117353.66862662,9760887.4232046,8106051.52583784,10069953.3264634,10340069.0566181,10153945.9363303,9414630.55965587,9304337.56031837,10875827.331255,11727393.5605249,12131940.6845272,9914319.4924057,9049646.85080085,8711543.95789691,7902468.35223825,11331934.7111512,10716612.5329673,10020121.7538538,9225829.02236598,9677861.24455276,11637741.9758154,9573941.70782656,9629992.0170232,8439785.8449924,9171801.12489513,11501676.0959646,8661876.23332562,10558233.8628973,8385622.17840693,8447871.07064358,11272398.0423701,9496227.3667545,8922425.88465679,9849367.55165374,8413680.47567997,10099545.7333075,9404042.76748101,9446054.41167293,8161666.62751677,10225220.7683273,8412330.61978906,12481386.1151208,10796191.3056523,8533424.09222451,12025805.8741995,10302887.5763297,8388063.20230221,10789762.3205062,10896488.5533627,8602764.49157398,9104222.55484044,8668521.06148381,10808681.4382084,8639409.50217629,8440166.8280916,11842475.9796324,9878908.96245375,9124675.63541916,10571385.3891619,11122695.1970774,11352246.6587266,11016778.2055621,8712575.73068828,9284973.7626929,8757839.98127804,10276754.9936877,8268725.85177867
